1 : [543, 132]
2 : [584, 144]
3 : [577, 181]
4 : [878, 176]
5 : [198, 217]
6 : [1062, 239]
7 : [1108, 243]
8 : [254, 307]
9 : [286, 309]
10 : [270, 318]
11 : [788, 308]
12 : [763, 328]
13 : [467, 359]
14 : [1193, 417]
15 : [613, 401]
16 : [655, 428]
17 : [637, 441]
18 : [263, 451]
19 : [905, 526]
20 : [879, 543]
21 : [901, 567]
22 : [1193, 605]
23 : [1057, 580]
24 : [205, 686]
25 : [879, 732]
26 : [1219, 737]
27 : [821, 824]
28 : [803, 848]
29 : [247, 837]
30 : [208, 888]
31 : [695, 876]
32 : [669, 878]
33 : [501, 997]
